algorithm,join_ratio,rep,initial_accuracy_r0,final_accuracy_r50,best_accuracy_round_series,best_accuracy_round,normalized_aulc,gain_r0_to_r10,gain_r0_to_r20,mean_gain_per_round_r0_r10,absolute_threshold,first_round_absolute,sustained_round_absolute,accuracy_round_10,accuracy_round_20,accuracy_round_30,accuracy_round_40,accuracy_round_50,relative_threshold_90,first_round_relative_90,sustained_round_relative_90,relative_threshold_95,first_round_relative_95,sustained_round_relative_95,relative_threshold_99,first_round_relative_99,sustained_round_relative_99
FedProx,1.0,rep4,0.0569,0.7148,0.7148,50,0.6582009999999999,0.5781000000000001,0.6267,0.05781000000000001,0.65,12.0,12.0,0.635,0.6836,0.6981,0.7084,0.7148,0.64332,11.0,11.0,0.67906,19.0,19.0,0.707652,39.0,39.0
FedProx,1.0,rep5,0.0569,0.7157,0.717,49,0.6583399999999999,0.5810000000000001,0.627,0.058100000000000006,0.65,12.0,12.0,0.6379,0.6839,0.6979,0.7093,0.7157,0.6453,11.0,11.0,0.6811499999999999,20.0,20.0,0.70983,41.0,41.0
SCAFFOLD,0.1,rep1,0.0569,0.742,0.742,50,0.5937870000000001,0.5236000000000001,0.5374000000000001,0.052360000000000004,0.65,19.0,46.0,0.5805,0.5943,0.6839,0.6921,0.742,0.6678000000000001,19.0,50.0,0.7049,32.0,50.0,0.73458,50.0,50.0
SCAFFOLD,0.1,rep2,0.0569,0.6861,0.7337,49,0.59775,0.5905,0.5674,0.059050000000000005,0.65,22.0,46.0,0.6474,0.6243,0.6796,0.6785,0.6861,0.6603300000000001,22.0,46.0,0.6970149999999999,29.0,,0.726363,49.0,
SCAFFOLD,0.1,rep3,0.0569,0.6984,0.7383,39,0.575365,0.3701,0.6263000000000001,0.03701,0.65,11.0,48.0,0.427,0.6832,0.6065,0.6241,0.6984,0.66447,19.0,48.0,0.7013849999999999,31.0,,0.7309169999999999,39.0,
SCAFFOLD,0.1,rep4,0.0569,0.7243,0.7293,43,0.5901519999999999,0.5924,0.5521,0.05924,0.65,17.0,48.0,0.6493,0.609,0.6053,0.6727,0.7243,0.65637,19.0,48.0,0.6928349999999999,34.0,49.0,0.722007,43.0,49.0
SCAFFOLD,0.1,rep5,0.0569,0.6705,0.7265,39,0.593464,0.5426000000000001,0.5954,0.05426000000000001,0.65,13.0,49.0,0.5995,0.6523,0.5733,0.72,0.6705,0.65385,13.0,49.0,0.690175,22.0,,0.7192350000000001,39.0,
SCAFFOLD,0.25,rep1,0.0569,0.7297,0.7329,38,0.65101,0.5904,0.6436000000000001,0.05904,0.65,12.0,29.0,0.6473,0.7005,0.6876,0.6996,0.7297,0.65961,12.0,29.0,0.696255,18.0,38.0,0.725571,33.0,50.0
SCAFFOLD,0.25,rep2,0.0569,0.7373,0.7373,50,0.6498559999999999,0.5856,0.6337,0.05856,0.65,11.0,36.0,0.6425,0.6906,0.7138,0.7334,0.7373,0.66357,11.0,36.0,0.7004349999999999,22.0,46.0,0.729927,39.0,49.0
SCAFFOLD,0.25,rep3,0.0569,0.724,0.7378,44,0.6544369999999999,0.5936,0.6294000000000001,0.05936,0.65,9.0,9.0,0.6505,0.6863,0.7044,0.7304,0.724,0.66402,11.0,17.0,0.70091,17.0,49.0,0.730422,35.0,
SCAFFOLD,0.25,rep4,0.0569,0.7381,0.743,36,0.6642960000000001,0.6090000000000001,0.6140000000000001,0.06090000000000001,0.65,10.0,10.0,0.6659,0.6709,0.7219,0.7269,0.7381,0.6687,11.0,30.0,0.70585,23.0,47.0,0.73557,35.0,50.0
SCAFFOLD,0.25,rep5,0.0569,0.7201,0.7452,48,0.657694,0.5585,0.6417,0.05585,0.65,11.0,20.0,0.6154,0.6986,0.7234,0.7065,0.7201,0.6706799999999999,11.0,29.0,0.7079399999999999,26.0,47.0,0.737748,48.0,
SCAFFOLD,0.5,rep1,0.0569,0.749,0.749,50,0.685051,0.6248,0.6594000000000001,0.06248,0.65,7.0,7.0,0.6817,0.7163,0.7403,0.723,0.749,0.6741,10.0,10.0,0.71155,18.0,39.0,0.74151,43.0,50.0
SCAFFOLD,0.5,rep2,0.0569,0.7348,0.7422,46,0.680575,0.6224000000000001,0.6585000000000001,0.062240000000000004,0.65,7.0,7.0,0.6793,0.7154,0.7134,0.7377,0.7348,0.66798,9.0,9.0,0.70509,17.0,22.0,0.7347779999999999,40.0,50.0
SCAFFOLD,0.5,rep3,0.0569,0.7289,0.7383,48,0.675486,0.6185,0.6594000000000001,0.06185,0.65,8.0,8.0,0.6754,0.7163,0.7267,0.7168,0.7289,0.66447,9.0,9.0,0.7013849999999999,13.0,39.0,0.7309169999999999,34.0,
SCAFFOLD,0.5,rep4,0.0569,0.7309,0.7451,48,0.6810180000000001,0.6302000000000001,0.6659,0.06302,0.65,8.0,8.0,0.6871,0.7228,0.7185,0.7177,0.7309,0.67059,9.0,9.0,0.707845,15.0,18.0,0.737649,42.0,
