algorithm,join_ratio,rep,planned_run,exit_code,global_rounds_parameter,logged_evaluations,local_epochs,batch_size,learning_rate,best_accuracy_from_rounds,best_accuracy_round,best_accuracy_reported,final_accuracy_round_50,initial_accuracy_round_0,total_time_reported_s,sum_iteration_time_s,monitor_samples,monitor_duration_s,cpu_util_fraction_mean,gpu_util_fraction_mean,estimated_power_mean_w,estimated_power_peak_w,estimated_energy_j
SCAFFOLD,0.5,rep1,True,0,50,51,5,10,0.005,0.749,50,0.7489714285714286,0.749,0.0569,3948.15,3943.9123117923737,3946,3946.0,0.12492120184997467,0.7286239229599595,15.160057257349214,17.475,59821.5859375
SCAFFOLD,0.5,rep2,True,0,50,51,5,10,0.005,0.7422,46,0.7421714285714286,0.7348,0.0569,3983.71,3979.0579841136932,3981,3981.0,0.12492567508163778,0.7135367997990455,15.009253124215023,17.575,59751.83668750001
SCAFFOLD,0.5,rep3,True,0,50,51,5,10,0.005,0.7383,48,0.7383428571428572,0.7289,0.0569,3926.84,3921.9553520679474,3924,3924.0,0.12491759683995922,0.7163786952089705,15.037550904689093,17.575,59007.34975
SCAFFOLD,0.5,rep4,True,0,50,51,5,10,0.005,0.7451,48,0.7450857142857142,0.7309,0.0569,3934.53,3929.604161262512,3932,3932.0,0.12492602365208547,0.709504069175992,14.9689310465412,17.475,58857.836875
SCAFFOLD,0.5,rep5,True,0,50,51,5,10,0.005,0.7455,41,0.7454857142857143,0.6987,0.0569,4386.13,4381.097683906555,4382,4382.0,0.12493684675947055,0.6456047466910086,14.330100168302145,17.475,62794.4989375
SCAFFOLD,0.75,rep1,True,0,50,51,5,10,0.005,0.7506,43,0.7505714285714286,0.7239,0.0569,5533.69,5529.104182720184,5528,5528.0,0.12490556485166424,0.7269247467438495,15.142830940213459,17.675,83709.5694375
SCAFFOLD,0.75,rep2,True,0,50,51,5,10,0.005,0.7547,46,0.7546857142857143,0.7479,0.0569,5858.57,5854.679706573486,5851,5851.0,0.12491229277046657,0.792114168518202,15.794826076739017,17.793750000000003,92415.52737499999
SCAFFOLD,0.75,rep3,True,0,50,51,5,10,0.005,0.7511,42,0.7510857142857142,0.7349,0.0569,5550.8,5545.712591171265,5545,5545.0,0.1249124165915239,0.7350297565374211,15.22398381424707,17.69375,84416.99025
SCAFFOLD,0.75,rep4,True,0,50,51,5,10,0.005,0.7533,44,0.7532571428571428,0.7417,0.0569,7475.8,7471.311599731445,7464,7464.0,0.12493092678188639,0.7961789924973205,15.8357538267015,17.875,118198.0665625
SCAFFOLD,0.75,rep5,True,0,50,51,5,10,0.005,0.7533,44,0.7532571428571428,0.7361,0.0569,11609.26,11604.245376586914,11589,11589.0,0.1249818524031409,0.9155733885581154,17.03046167162827,17.89375,197366.0203125
SCAFFOLD,1.0,rep1,True,0,50,51,5,10,0.005,0.7599,48,0.7598857142857143,0.7597,0.0569,10719.92,10715.621329545975,10701,10701.0,0.12494822446500327,0.8718502943650126,16.592726310625174,17.89375,177558.76425
SCAFFOLD,1.0,rep2,True,0,50,51,5,10,0.005,0.7608,44,0.7608,0.7488,0.0569,10426.17,10421.6732609272,10409,10409.0,0.12494700499567682,0.8438706888269765,16.31291196320492,17.875,169801.10062500002
SCAFFOLD,1.0,rep3,True,0,50,51,5,10,0.005,0.7582,43,0.7582285714285715,0.7512,0.0569,6938.3,6933.904885053635,6931,6931.0,0.12492451486077046,0.6878834223055836,14.752701945967393,17.075000000000003,102250.9771875
SCAFFOLD,1.0,rep4,True,0,50,51,5,10,0.005,0.7583,39,0.7582857142857143,0.7458,0.0569,7318.8,7314.274261713028,7310,7310.0,0.12493666723666211,0.6457564979480164,14.331614988030095,17.075000000000003,104764.1055625
SCAFFOLD,1.0,rep5,True,0,50,51,5,10,0.005,0.7602,40,0.7602285714285715,0.7559,0.0569,7185.7,7181.430119514465,7177,7177.0,0.12491406054061584,0.7240434722028701,15.11414563013794,17.65625,108474.2231875
